Sat Mar 24 12:39:23 2018    /home/nicky/pos/restats_2

         246937820 function calls (246147762 primitive calls) in 510.971 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8324    0.009    0.000    0.009    0.000 {unichr}
        1    0.008    0.008    0.008    0.008 {posix.popen}
     4448    0.008    0.000    0.008    0.000 {method 'flush' of 'file' objects}
     8948    0.007    0.000    0.007    0.000 {thread.get_ident}
        1    0.007    0.007    0.008    0.008 loader.py:1(<module>)
        1    0.007    0.007    0.033    0.033 __init__.py:15(<module>)
     4520    0.007    0.000    0.007    0.000 {method 'acquire' of 'thread.lock' objects}
        1    0.007    0.007    0.019    0.019 subprocess.py:387(<module>)
        1    0.007    0.007    0.036    0.036 ctypeslib.py:51(<module>)
        1    0.007    0.007    0.029    0.029 random.py:40(<module>)
        1    0.007    0.007    0.036    0.036 block.py:1(<module>)
        1    0.007    0.007    0.007    0.007 _datasource.py:33(<module>)
        1    0.007    0.007    0.008    0.008 format.py:136(<module>)
       10    0.006    0.001    0.006    0.001 metrics.py:40(delay_throughput)
        1    0.006    0.006    0.006    0.006 fftpack.py:32(<module>)
        1    0.006    0.006    0.007    0.007 polynomial.py:55(<module>)
        1    0.006    0.006    0.049    0.049 __init__.py:45(<module>)
     4468    0.005    0.000    0.005    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
     4489    0.005    0.000    0.005    0.000 {method 'release' of 'thread.lock' objects}
      273    0.005    0.000    0.007    0.000 function_base.py:2945(add_newdoc)
        1    0.004    0.004    0.004    0.004 synchronize.py:74(__init__)
    89/31    0.004    0.000    0.012    0.000 sre_parse.py:379(_parse)
        1    0.004    0.004    0.018    0.018 index_tricks.py:1(<module>)
      500    0.004    0.000    0.009    0.000 validator.py:13(__init__)
        1    0.003    0.003    0.007    0.007 __init__.py:38(<module>)
      500    0.003    0.000    0.013    0.000 validator.py:102(__init__)
        1    0.003    0.003    0.004    0.004 chebyshev.py:87(<module>)
       10    0.003    0.000    0.003    0.000 metrics.py:110(finalization_quartiles)
        1    0.003    0.003    0.004    0.004 legendre.py:83(<module>)
        1    0.003    0.003    0.004    0.004 hermite.py:59(<module>)
        6    0.003    0.000    0.005    0.001 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.003    0.003    0.004    0.004 laguerre.py:59(<module>)
        1    0.003    0.003    0.004    0.004 hermite_e.py:59(<module>)
   191/29    0.003    0.000    0.007    0.000 sre_compile.py:32(_compile)
        1    0.002    0.002    0.168    0.168 type_check.py:3(<module>)
        1    0.002    0.002    0.002    0.002 forking.py:35(<module>)
        1    0.002    0.002    0.003    0.003 runner.py:1(<module>)
      944    0.002    0.000    0.003    0.000 sre_parse.py:182(__next)
        1    0.002    0.002    0.002    0.002 __init__.py:10(<module>)
       30    0.002    0.000    0.005    0.000 arrayprint.py:547(fillFormat)
        1    0.002    0.002    0.004    0.004 synchronize.py:36(<module>)
       10    0.002    0.000    0.003    0.000 metrics.py:75(timing_chain)
        1    0.002    0.002    0.004    0.004 _main.py:1(<module>)
        1    0.002    0.002    0.002    0.002 process.py:35(<module>)
        1    0.001    0.001    0.002    0.002 arrayprint.py:5(<module>)
      864    0.001    0.000    0.002    0.000 sre_parse.py:130(__getitem__)
        1    0.001    0.001    0.001    0.001 signals.py:1(<module>)
        1    0.001    0.001    0.292    0.292 add_newdocs.py:10(<module>)
        1    0.001    0.001    0.003    0.003 core.py:21(<module>)
       10    0.001    0.000    0.001    0.000 {thread.start_new_thread}
        1    0.001    0.001    0.002    0.002 __init__.py:3(<module>)
      666    0.001    0.000    0.002    0.000 string.py:158(convert)
        1    0.001    0.001    0.001    0.001 utils.py:4(<module>)
        1    0.001    0.001    0.055    0.055 polynomial.py:4(<module>)
        1    0.001    0.001    0.009    0.009 __init__.py:178(RLock)
       80    0.001    0.000    0.003    0.000 arrayprint.py:598(__call__)
        1    0.001    0.001    0.006    0.006 _internal.py:6(<module>)
     1000    0.001    0.000    0.001    0.000 metrics.py:139(main_chain_size)
      790    0.001    0.000    0.004    0.000 sre_parse.py:201(get)
  290/128    0.001    0.000    0.001    0.000 sre_parse.py:140(getwidth)
        2    0.001    0.001    0.001    0.001 collections.py:288(namedtuple)
        1    0.001    0.001    0.004    0.004 main.py:1(<module>)
        1    0.001    0.001    0.001    0.001 fromnumeric.py:3(<module>)
      222    0.001    0.000    0.002    0.000 numeric.py:2320(seterr)
      676    0.001    0.000    0.001    0.000 {getattr}
        1    0.001    0.001    0.001    0.001 _version.py:2(<module>)
       90    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.001    0.001    0.001    0.001 util.py:1(<module>)
        1    0.001    0.001    0.001    0.001 _tqdm_pandas.py:1(<module>)
        1    0.001    0.001    0.001    0.001 validator.py:1(<module>)
      444    0.001    0.000    0.001    0.000 sre_parse.py:138(append)
       72    0.001    0.000    0.001    0.000 sre_compile.py:207(_optimize_charset)
      906    0.001    0.000    0.001    0.000 {method 'group' of '_sre.SRE_Match' objects}
      147    0.001    0.000    0.024    0.000 re.py:226(_compile)
      421    0.001    0.000    0.001    0.000 sre_parse.py:126(__len__)
      222    0.001    0.000    0.001    0.000 numeric.py:2416(geterr)
        1    0.001    0.001    0.002    0.002 numerictypes.py:82(<module>)
       10    0.001    0.000    0.011    0.001 arrayprint.py:233(_array2string)
       98    0.000    0.000    0.000    0.000 {numpy.core.multiarray.array}
       72    0.000    0.000    0.002    0.000 sre_compile.py:178(_compile_charset)
      534    0.000    0.000    0.001    0.000 sre_parse.py:195(match)
      124    0.000    0.000    0.001    0.000 arrayprint.py:632(_digits)
    84/29    0.000    0.000    0.013    0.000 sre_parse.py:301(_parse_sub)
        1    0.000    0.000    0.001    0.001 io.py:34(<module>)
       10    0.000    0.000    0.036    0.004 _tqdm.py:654(__init__)
        1    0.000    0.000    0.001    0.001 defmatrix.py:1(<module>)
       35    0.000    0.000    0.000    0.000 block.py:80(__eq__)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
       29    0.000    0.000    0.002    0.000 sre_compile.py:359(_compile_info)
        9    0.000    0.000    0.001    0.000 abc.py:86(__new__)
       10    0.000    0.000    0.001    0.000 collections.py:501(update)
       20    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x8f7820}
        3    0.000    0.000    0.001    0.000 numeric.py:346(extend_all)
       10    0.000    0.000    0.004    0.000 arrayprint.py:465(_formatArray)
       80    0.000    0.000    0.001    0.000 arrayprint.py:457(_extendLine)
      420    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.000    0.000 {open}
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
      512    0.000    0.000    0.000    0.000 {chr}
